,harmonised_code,teryt,teryt_woj,teryt_pow,nuts3_code,nuts_0,nuts_1,nuts_2,nuts_3,pow_name,pow_prefix,woj_name,woj_prefix,nuts_1_name,nuts_1_prefix,nuts_2_name,nuts_2_prefix,nuts3_name,nuts_3_prefix
145,T_1402,T_1402,14,2,PL922,PL,9,2,2,ciechanowski,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,ciechanowski,podregion
146,T_1413,T_1413,14,13,PL922,PL,9,2,2,mławski,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,ciechanowski,podregion
147,T_1420,T_1420,14,20,PL922,PL,9,2,2,płoński,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,ciechanowski,podregion
148,T_1424,T_1424,14,24,PL922,PL,9,2,2,pułtuski,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,ciechanowski,podregion
149,T_1437,T_1437,14,37,PL922,PL,9,2,2,żuromiński,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,ciechanowski,podregion
150,T_1403,T_1403,14,3,PL925,PL,9,2,5,garwoliński,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,siedlecki,podregion
151,T_1410,T_1410,14,10,PL925,PL,9,2,5,łosicki,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,siedlecki,podregion
152,T_1426,T_1426,14,26,PL925,PL,9,2,5,siedlecki,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,siedlecki,podregion
153,T_1429,T_1429,14,29,PL925,PL,9,2,5,sokołowski,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,siedlecki,podregion
154,T_1433,T_1433,14,33,PL925,PL,9,2,5,węgrowski,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,siedlecki,podregion
155,T_1464,T_1464,14,64,PL925,PL,9,2,5,Siedlce,powiat m.,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,siedlecki,podregion
156,T_1404,T_1404,14,4,PL923,PL,9,2,3,gostyniński,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,płocki,podregion
157,T_1419,T_1419,14,19,PL923,PL,9,2,3,płocki,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,płocki,podregion
