year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
2000,T_3023,Powiat słupecki,69.0,320.0
2000,T_3027,Powiat turecki,82.0,398.0
2000,T_3030,Powiat wrzesiński,71.0,386.0
2000,T_3062,Powiat m. Konin,139.0,349.0
2000,T_3004,Powiat gostyński,61.0,361.0
2000,T_3005,Powiat grodziski,52.0,252.0
2000,T_3011,Powiat kościański,65.0,381.0
2000,T_3013,Powiat leszczyński,37.0,261.0
2000,T_3014,Powiat międzychodzki,45.0,164.0
2000,T_3015,Powiat nowotomyski,80.0,365.0
2000,T_3022,Powiat rawicki,67.0,299.0
2000,T_3029,Powiat wolsztyński,51.0,307.0
2000,T_3063,Powiat m. Leszno,131.0,281.0
2000,T_3001,Powiat chodzieski,53.0,192.0
2000,T_3002,Powiat czarnkowsko-trzcianecki,104.0,413.0
2000,T_3019,Powiat pilski,235.0,581.0
2000,T_3028,Powiat wągrowiecki,66.0,326.0
2000,T_3031,Powiat złotowski,119.0,329.0
2000,T_3016,Powiat obornicki,46.0,278.0
2000,T_3021,Powiat poznański,323.0,990.0
2000,T_3024,Powiat szamotulski,125.0,397.0
2000,T_3025,Powiat średzki,61.0,259.0
2000,T_3026,Powiat śremski,75.0,319.0
2000,T_3064,Powiat m. Poznań,1087.0,1910.0
2000,T_3201,Powiat białogardzki,101.0,170.0
2000,T_3208,Powiat kołobrzeski,192.0,247.0
2000,T_3209,Powiat koszaliński,107.0,216.0
2000,T_3213,Powiat sławieński,93.0,224.0
2000,T_3261,Powiat m. Koszalin,281.0,278.0
2000,T_3202,Powiat choszczeński,104.0,168.0
2000,T_3203,Powiat drawski,113.0,209.0
2000,T_3210,Powiat myśliborski,146.0,244.0
2000,T_3212,Powiat pyrzycki,66.0,158.0
2000,T_3215,Powiat szczecinecki,167.0,276.0
2000,T_3216,Powiat świdwiński,68.0,179.0
2000,T_3217,Powiat wałecki,106.0,243.0
2000,T_3262,Powiat m. Szczecin,953.0,1068.0
2000,T_3204,Powiat goleniowski,149.0,290.0
2000,T_3205,Powiat gryficki,153.0,259.0
2000,T_3206,Powiat gryfiński,139.0,290.0
2000,T_3207,Powiat kamieński,101.0,186.0
2000,T_3211,Powiat policki,112.0,152.0
2000,T_3214,Powiat stargardzki,259.0,521.0
2000,T_3263,Powiat m. Świnoujście,120.0,110.0
2000,T_0201,Powiat bolesławiecki,150.0,357.0
2000,T_0205,Powiat jaworski,82.0,204.0
2000,T_0206,Powiat karkonoski,132.0,196.0
2000,T_0207,Powiat kamiennogórski,73.0,176.0
2000,T_0210,Powiat lubański,118.0,215.0
2000,T_0212,Powiat lwówecki,84.0,178.0
2000,T_0225,Powiat zgorzelecki,224.0,300.0
2000,T_0226,Powiat złotoryjski,92.0,179.0
2000,T_0261,Powiat m. Jelenia Góra,208.0,251.0
2000,T_0203,Powiat głogowski,192.0,390.0
2000,T_0204,Powiat górowski,44.0,173.0
2000,T_0209,Powiat legnicki,99.0,190.0
2000,T_0211,Powiat lubiński,250.0,450.0
2000,T_0216,Powiat polkowicki,116.0,242.0
2000,T_0262,Powiat m. Legnica,256.0,344.0
2000,T_0202,Powiat dzierżoniowski,200.0,336.0
2000,T_0208,Powiat kłodzki,342.0,560.0
2000,T_0219,Powiat świdnicki,324.0,594.0
2000,T_0221,Powiat wałbrzyski,114.0,189.0
2000,T_0224,Powiat ząbkowicki,114.0,261.0
2000,T_0263,Powiat m. Wałbrzych,372.0,348.0
2000,T_0213,Powiat milicki,58.0,206.0
2000,T_0214,Powiat oleśnicki,178.0,430.0
2000,T_0215,Powiat oławski,126.0,336.0
2000,T_0217,Powiat strzeliński,62.0,175.0
2000,T_0218,Powiat średzki,90.0,204.0
2000,T_0220,Powiat trzebnicki,113.0,313.0
2000,T_0222,Powiat wołowski,73.0,182.0
2000,T_0223,Powiat wrocławski,155.0,382.0
2000,T_0264,Powiat m. Wrocław,1323.0,1665.0
2000,T_1601,Powiat brzeski,149.0,327.0
2000,T_1602,Powiat głubczycki,84.0,201.0
2000,T_1606,Powiat namysłowski,66.0,177.0
2000,T_1607,Powiat nyski,209.0,579.0
2000,T_1610,Powiat prudnicki,93.0,200.0
2000,T_1603,Powiat kędzierzyńsko-kozielski,179.0,315.0
2000,T_1604,Powiat kluczborski,112.0,257.0
2000,T_1605,Powiat krapkowicki,121.0,216.0
2000,T_1608,Powiat oleski,77.0,275.0
2000,T_1609,Powiat opolski,151.0,413.0
2000,T_1611,Powiat strzelecki,96.0,274.0
2000,T_1661,Powiat m. Opole,266.0,325.0
2000,T_0403,Powiat bydgoski,139.0,347.0
2000,T_0415,Powiat toruński,162.0,339.0
2000,T_0461,Powiat m. Bydgoszcz,835.0,1231.0
2000,T_0463,Powiat m. Toruń,446.0,782.0
2000,T_0402,Powiat brodnicki,93.0,327.0
2000,T_0404,Powiat chełmiński,91.0,242.0
2000,T_0405,Powiat golubsko-dobrzyński,66.0,186.0
2000,T_0406,Powiat grudziądzki,59.0,176.0
2000,T_0412,Powiat rypiński,69.0,214.0
2000,T_0417,Powiat wąbrzeski,62.0,150.0
2000,T_0462,Powiat m. Grudziądz,241.0,384.0
2000,T_0401,Powiat aleksandrowski,94.0,214.0
2000,T_0408,Powiat lipnowski,109.0,309.0
2000,T_0411,Powiat radziejowski,57.0,173.0
2000,T_0418,Powiat włocławski,106.0,361.0
2000,T_0464,Powiat m. Włocławek,273.0,444.0
2000,T_0407,Powiat inowrocławski,255.0,660.0
2000,T_0409,Powiat mogileński,73.0,194.0
2000,T_0410,Powiat nakielski,109.0,363.0
2000,T_0419,Powiat żniński,123.0,290.0
2000,T_0413,Powiat sępoleński,44.0,187.0
2000,T_0414,Powiat świecki,180.0,408.0
2000,T_0416,Powiat tucholski,58.0,208.0
2000,T_2204,Powiat gdański,131.0,292.0
2000,T_2205,Powiat kartuski,93.0,579.0
2000,T_2210,Powiat nowodworski,58.0,133.0
2000,T_2211,Powiat pucki,95.0,313.0
2000,T_2215,Powiat wejherowski,199.0,768.0
2000,T_2201,Powiat bytowski,96.0,341.0
2000,T_2208,Powiat lęborski,134.0,229.0
2000,T_2212,Powiat słupski,171.0,379.0
2000,T_2263,Powiat m. Słupsk,208.0,306.0
2000,T_2207,Powiat kwidzyński,182.0,334.0
2000,T_2209,Powiat malborski,212.0,455.0
2000,T_2213,Powiat starogardzki,120.0,561.0
2000,T_2214,Powiat tczewski,150.0,522.0
2000,T_2261,Powiat m. Gdańsk,960.0,1647.0
2000,T_2262,Powiat m. Gdynia,512.0,864.0
2000,T_2264,Powiat m. Sopot,94.0,107.0
2000,T_2202,Powiat chojnicki,103.0,464.0
2000,T_2203,Powiat człuchowski,117.0,206.0
2000,T_2206,Powiat kościerski,63.0,340.0
2000,T_2802,Powiat braniewski,60.0,159.0
2000,T_2803,Powiat działdowski,74.0,377.0
2000,T_2804,Powiat elbląski,89.0,205.0
2000,T_2807,Powiat iławski,170.0,420.0
2000,T_2812,Powiat nowomiejski,46.0,240.0
2000,T_2815,Powiat ostródzki,184.0,469.0
2000,T_2861,Powiat m. Elbląg,308.0,394.0
2000,T_2805,Powiat ełcki,168.0,340.0
2000,T_2806,Powiat giżycki,165.0,331.0
2000,T_2813,Powiat olecki,88.0,214.0
2000,T_2816,Powiat piski,105.0,271.0
2000,T_2801,Powiat bartoszycki,87.0,285.0
2000,T_2808,Powiat kętrzyński,123.0,289.0
2000,T_2809,Powiat lidzbarski,76.0,180.0
2000,T_2810,Powiat mrągowski,84.0,216.0
2000,T_2811,Powiat nidzicki,51.0,190.0
2000,T_2814,Powiat olsztyński,184.0,414.0
2000,T_2817,Powiat szczycieński,82.0,324.0
2000,T_2862,Powiat m. Olsztyn,321.0,547.0
2000,T_1006,Powiat łódzki wschodni,93.0,424.0
2000,T_1008,Powiat pabianicki,180.0,406.0
2000,T_1020,Powiat zgierski,222.0,630.0
2000,T_1061,Powiat m. Łódź,1590.0,2182.0
2000,T_1001,Powiat bełchatowski,134.0,477.0
2000,T_1007,Powiat opoczyński,65.0,426.0
2000,T_1010,Powiat piotrkowski,84.0,423.0
2000,T_1012,Powiat radomszczański,145.0,537.0
2000,T_1016,Powiat tomaszowski,197.0,546.0
2000,T_1062,Powiat m. Piotrków Trybunalski,139.0,323.0
2000,T_1003,Powiat łaski,78.0,211.0
2000,T_1009,Powiat pajęczański,52.0,273.0
2000,T_1011,Powiat poddębicki,46.0,198.0
2000,T_1014,Powiat sieradzki,128.0,516.0
2000,T_1017,Powiat wieluński,87.0,374.0
2000,T_1018,Powiat wieruszowski,30.0,210.0
2000,T_1019,Powiat zduńskowolski,86.0,268.0
2000,T_1002,Powiat kutnowski,183.0,435.0
2000,T_1004,Powiat łęczycki,64.0,228.0
2000,T_1005,Powiat łowicki,71.0,389.0
2000,T_1013,Powiat rawski,35.0,269.0
2000,T_1015,Powiat skierniewicki,20.0,165.0
2000,T_1063,Powiat m. Skierniewice,74.0,173.0
2000,T_2604,Powiat kielecki,155.0,961.0
2000,T_2605,Powiat konecki,86.0,455.0
2000,T_2607,Powiat ostrowiecki,270.0,404.0
2000,T_2610,Powiat skarżyski,113.0,324.0
2000,T_2611,Powiat starachowicki,141.0,430.0
2000,T_2661,Powiat m. Kielce,319.0,896.0
2000,T_2601,Powiat buski,121.0,329.0
2000,T_2602,Powiat jędrzejowski,97.0,465.0
2000,T_2603,Powiat kazimierski,54.0,133.0
2000,T_2606,Powiat opatowski,61.0,269.0
2000,T_2608,Powiat pińczowski,62.0,195.0
2000,T_2609,Powiat sandomierski,95.0,379.0
2000,T_2612,Powiat staszowski,110.0,346.0
2000,T_2613,Powiat włoszczowski,32.0,238.0
2000,T_0601,Powiat bialski,125.0,525.0
2000,T_0613,Powiat parczewski,55.0,191.0
2000,T_0615,Powiat radzyński,77.0,347.0
2000,T_0619,Powiat włodawski,67.0,155.0
2000,T_0661,Powiat m. Biała Podlaska,69.0,205.0
