year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
2000,I_37,Salamanca,324.0,1237.0
2000,I_38,Canarias,1080.0,2478.0
2000,I_39,Cantabria,656.0,2072.0
2000,I_40,Segovia,126.0,518.0
2000,I_41,Sevilla,1687.0,8580.0
2000,I_42,Soria,85.0,238.0
2000,I_43,Tarragona,881.0,2309.0
2000,I_44,Teruel,95.0,452.0
2000,I_45,Toledo,335.0,2388.0
2000,I_46,Valencia,3320.0,9664.0
2000,I_47,Valladolid,502.0,2061.0
2000,I_48,Bizkaia,1586.0,3990.0
2000,I_49,Zamora,124.0,554.0
2000,I_50,Zaragoza,965.0,3660.0
2000,I_51,Ceuta,161.0,161.0
2000,I_52,Melilla,410.0,136.0
2001,I_01,Alava,421.0,868.0
2001,I_02,Albacete,359.0,1410.0
2001,I_03,Alicante,1995.0,5803.0
2001,I_04,Almeria,613.0,2145.0
2001,I_05,Avila,119.0,485.0
2001,I_06,Badajoz,485.0,2819.0
2001,I_07,Illes Balears,1597.0,2729.0
2001,I_08,Barcelona,9176.0,15583.0
2001,I_09,Burgos,300.0,1088.0
2001,I_10,Caceres,295.0,1378.0
2001,I_11,Cadiz,1309.0,5051.0
2001,I_12,Castellon,685.0,1987.0
2001,I_13,Ciudad Real,287.0,2003.0
2001,I_14,Cordoba,592.0,3634.0
2001,I_15,A Coruna,1205.0,3446.0
2001,I_16,Cuenca,106.0,627.0
2001,I_17,Girona,877.0,1505.0
2001,I_18,Granada,785.0,3615.0
2001,I_19,Guadalajara,202.0,712.0
2001,I_20,Gipuzkoa,1158.0,2177.0
2001,I_21,Huelva,451.0,2059.0
2001,I_22,Huesca,200.0,601.0
2001,I_23,Jaen,381.0,2709.0
2001,I_24,Leon,458.0,1299.0
2001,I_25,Lleida,505.0,1121.0
2001,I_26,La Rioja,332.0,1060.0
2001,I_27,Lugo,254.0,878.0
2001,I_28,Madrid,8326.0,21528.0
2001,I_29,Malaga,1859.0,5447.0
2001,I_30,Murcia,1277.0,5253.0
