year,province_code,nuts3_code,harmonised_name,marriages_civil,marriages_religious
2012,IT_041,ITI31,Pesaro e Urbino,478,515
2012,IT_042,ITI32,Ancona,582,799
2012,IT_043,ITI33,Macerata,286,568
2012,IT_044,ITI34,Ascoli Piceno,226,479
2012,IT_045,ITI11,MassaCarrara,347,301
2012,IT_046,ITI12,Lucca,811,649
2012,IT_047,ITI13,Pistoia,493,410
2012,IT_048,ITI14,Firenze,2174,1427
2012,IT_049,ITI16,Livorno,681,368
2012,IT_050,ITI17,Pisa,758,648
2012,IT_051,ITI18,Arezzo,596,608
2012,IT_052,ITI19,Siena,621,511
2012,IT_053,ITI1A,Grosseto,489,283
2012,IT_054,ITI21,Perugia,929,1347
2012,IT_055,ITI22,Terni,361,323
2012,IT_056,ITI41,Viterbo,472,555
2012,IT_057,ITI42,Rieti,217,320
2012,IT_058,ITI43,Roma,7090,6656
2012,IT_059,ITI44,Latina,656,1179
2012,IT_060,ITI45,Frosinone,546,1326
2012,IT_061,ITF31,Caserta,758,3216
2012,IT_062,ITF32,Benevento,220,976
2012,IT_063,ITF33,Napoli,3595,9410
2012,IT_064,ITF34,Avellino,279,1428
2012,IT_065,ITF35,Salerno,1145,3666
2012,IT_066,ITF11,LAquila,313,624
2012,IT_067,ITF12,Teramo,277,645
2012,IT_068,ITF13,Pescara,409,636
2012,IT_069,ITF14,Chieti,390,767
2012,IT_070,ITF22,Campobasso,154,483
2012,IT_071,ITF46,Foggia,491,2095
2012,IT_072,ITF47,Bari,1199,4129
2012,IT_073,ITF43,Taranto,563,1803
2012,IT_074,ITF44,Brindisi,435,1168
2012,IT_075,ITF45,Lecce,746,2644
2012,IT_076,ITF51,Potenza,167,1135
2012,IT_077,ITF52,Matera,107,634
2012,IT_078,ITF61,Cosenza,418,2463
2012,IT_079,ITF63,Catanzaro,271,1307
2012,IT_080,ITF65,Reggio di Calabria,389,2121
2012,IT_081,ITG11,Trapani,305,1455
2012,IT_082,ITG12,Palermo,1393,4165
2012,IT_083,ITG13,Messina,650,2050
2012,IT_084,ITG14,Agrigento,324,1603
2012,IT_085,ITG15,Caltanissetta,243,891
2012,IT_086,ITG16,Enna,133,575
2012,IT_087,ITG17,Catania,1406,2862
2012,IT_088,ITG18,Ragusa,304,1029
2012,IT_089,ITG19,Siracusa,538,1155
2012,IT_090,ITG2D,Sassari,748,1018
2012,IT_091,ITG2E,Nuoro,232,503
2012,IT_092,ITG2F,Cagliari,679,805
2012,IT_093,ITH41,Pordenone,511,442
2012,IT_094,ITF21,Isernia,52,221
2012,IT_095,ITG2G,Oristano,208,269
2012,IT_096,ITC13,Biella,273,231
2012,IT_097,ITC43,Lecco,484,641
2012,IT_098,ITC49,Lodi,313,273
2012,IT_099,ITH59,Rimini,493,493
2012,IT_100,ITI15,Prato,554,350
2012,IT_101,ITF62,Crotone,126,672
2012,IT_102,ITF64,Vibo Valentia,114,658
2012,IT_103,ITC14,VerbanoCusioOssola,322,315
2012,IT_108,ITC4D,Monza e della Brianza,1276,1267
2012,IT_109,ITI35,Fermo,176,379
2012,IT_110,ITF48,BarlettaAndriaTrani,257,1350
2012,IT_111,ITG2H,Sud Sardegna,503,583
2013,IT_001,ITC11,Torino,3348,2653
2013,IT_002,ITC12,Vercelli,268,185
2013,IT_003,ITC15,Novara,622,493
2013,IT_004,ITC16,Cuneo,845,1066
2013,IT_005,ITC17,Asti,397,328
2013,IT_006,ITC18,Alessandria,729,556
2013,IT_007,ITC20,Valle dAosta,240,154
2013,IT_008,ITC31,Imperia,368,294
2013,IT_009,ITC32,Savona,532,377
2013,IT_010,ITC33,Genova,1628,1005
2013,IT_011,ITC34,La Spezia,502,305
2013,IT_012,ITC41,Varese,1337,1265
2013,IT_013,ITC42,Como,957,888
2013,IT_014,ITC44,Sondrio,218,325
2013,IT_015,ITC4C,Milano,4717,2796
2013,IT_016,ITC46,Bergamo,1521,1535
2013,IT_017,ITC47,Brescia,1791,1756
2013,IT_018,ITC48,Pavia,904,652
2013,IT_019,ITC4A,Cremona,543,422
2013,IT_020,ITC4B,Mantova,614,503
2013,IT_021,ITH10,Bolzano,1174,668
2013,IT_022,ITH20,Trento,839,739
2013,IT_023,ITH31,Verona,1830,1538
2013,IT_024,ITH32,Vicenza,1020,1308
2013,IT_025,ITH33,Belluno,266,247
2013,IT_026,ITH34,Treviso,1103,1317
2013,IT_027,ITH35,Venezia,1537,1100
2013,IT_028,ITH36,Padova,1226,1421
2013,IT_029,ITH37,Rovigo,333,319
2013,IT_030,ITH42,Udine,847,665
2013,IT_031,ITH43,Gorizia,236,149
2013,IT_032,ITH44,Trieste,491,228
2013,IT_033,ITH51,Piacenza,394,408
2013,IT_034,ITH52,Parma,635,514
2013,IT_035,ITH53,Reggio nellEmilia,788,617
2013,IT_036,ITH54,Modena,1081,741
2013,IT_037,ITH55,Bologna,1716,930
2013,IT_038,ITH56,Ferrara,580,305
2013,IT_039,ITH57,Ravenna,701,444
2013,IT_040,ITH58,ForliCesena,557,460
2013,IT_041,ITI31,Pesaro e Urbino,494,517
2013,IT_042,ITI32,Ancona,564,731
2013,IT_043,ITI33,Macerata,309,546
2013,IT_044,ITI34,Ascoli Piceno,244,429
2013,IT_045,ITI11,MassaCarrara,344,236
2013,IT_046,ITI12,Lucca,782,540
2013,IT_047,ITI13,Pistoia,439,354
2013,IT_048,ITI14,Firenze,1990,1345
2013,IT_049,ITI16,Livorno,701,304
2013,IT_050,ITI17,Pisa,735,568
2013,IT_051,ITI18,Arezzo,567,498
2013,IT_052,ITI19,Siena,639,410
2013,IT_053,ITI1A,Grosseto,410,260
2013,IT_054,ITI21,Perugia,838,1092
2013,IT_055,ITI22,Terni,344,335
2013,IT_056,ITI41,Viterbo,534,518
2013,IT_057,ITI42,Rieti,164,266
2013,IT_058,ITI43,Roma,6756,6126
2013,IT_059,ITI44,Latina,704,1037
2013,IT_060,ITI45,Frosinone,489,1038
2013,IT_061,ITF31,Caserta,748,2745
2013,IT_062,ITF32,Benevento,220,1016
2013,IT_063,ITF33,Napoli,3593,8495
2013,IT_064,ITF34,Avellino,272,1287
2013,IT_065,ITF35,Salerno,1211,3898
2013,IT_066,ITF11,LAquila,293,578
