,election_date,election_type,harmonised_code,harmonised_name,pc1
153,1999_06_13,european,ITF64,vibo valentia,-0.04741720158414606
154,1999_06_13,european,ITF65,reggio calabria,0.002996388963117084
155,1999_06_13,european,ITG11,trapani,0.02350611053750712
156,1999_06_13,european,ITG12,palermo,0.0836068440307445
157,1999_06_13,european,ITG13,messina,0.04084501175163439
158,1999_06_13,european,ITG14,agrigento,-0.0015755318454037002
159,1999_06_13,european,ITG15,caltanissetta,0.005910924394577832
160,1999_06_13,european,ITG16,enna,-0.05380464616212408
161,1999_06_13,european,ITG17,catania,0.05586777273378713
162,1999_06_13,european,ITG18,ragusa,-0.09183292075865021
163,1999_06_13,european,ITG19,siracusa,0.0186515249852125
164,1999_06_13,european,ITG2D,sassari,0.013015349644406428
165,1999_06_13,european,ITG2E,nuoro,-0.05525547269042892
166,1999_06_13,european,ITG2F,cagliari,0.05638960299854671
167,1999_06_13,european,ITG2G,oristano,0.047615630246003
168,1999_06_13,european,ITG2H,sud sardegna,-0.004688660731079097
169,1999_06_13,european,ITH10,bolzano,0.06326602507484788
170,1999_06_13,european,ITH20,trento,0.0722223684298069
171,1999_06_13,european,ITH31,verona,0.11381222864773818
172,1999_06_13,european,ITH32,vicenza,0.13559164490001988
173,1999_06_13,european,ITH33,belluno,0.12782272659043367
174,1999_06_13,european,ITH34,treviso,0.14072686646632918
175,1999_06_13,european,ITH35,venezia,0.028187880314559845
176,1999_06_13,european,ITH36,padova,0.09210694838331071
177,1999_06_13,european,ITH37,rovigo,-0.0030151100380979984
178,1999_06_13,european,ITH41,pordenone,0.1050253955015795
179,1999_06_13,european,ITH42,udine,0.10379832394930068
180,1999_06_13,european,ITH43,gorizia,-0.013057549008485419
181,1999_06_13,european,ITH44,trieste,0.056594242106361825
182,1999_06_13,european,ITH51,piacenza,0.011481725795574048
183,1999_06_13,european,ITH52,parma,-0.04177284618057618
184,1999_06_13,european,ITH53,reggio nellemilia,-0.1830063419628824
185,1999_06_13,european,ITH54,modena,-0.17015122748437736
186,1999_06_13,european,ITH55,bologna,-0.1682686383001254
187,1999_06_13,european,ITH56,ferrara,-0.13808364309680493
188,1999_06_13,european,ITH57,ravenna,-0.17702016912171442
189,1999_06_13,european,ITH58,forlicesena,-0.14192418749191854
190,1999_06_13,european,ITH59,rimini,-0.10886044188169659
191,1999_06_13,european,ITI11,massacarrara,-0.02989898207492694
192,1999_06_13,european,ITI12,lucca,-0.0056000422134679425
193,1999_06_13,european,ITI13,pistoia,-0.12457063778920975
194,1999_06_13,european,ITI14,firenze,-0.2009702027357464
195,1999_06_13,european,ITI15,prato,-0.16168198080850624
196,1999_06_13,european,ITI16,livorno,-0.2150308182230993
197,1999_06_13,european,ITI17,pisa,-0.16476133103651736
198,1999_06_13,european,ITI18,arezzo,-0.1458787283269349
199,1999_06_13,european,ITI19,siena,-0.2547559391067206
200,1999_06_13,european,ITI1A,grosseto,-0.12288830610191845
201,1999_06_13,european,ITI21,perugia,-0.14377242097437837
202,1999_06_13,european,ITI22,terni,-0.1355694899801726
203,1999_06_13,european,ITI31,pesaro e urbino,-0.14350574508327857
204,1999_06_13,european,ITI32,ancona,-0.0928652700138458
