year,election_date,election_type,region_code,reigion_name,vote_share,wage_index,civil_marriage_share
2011,2011_11_20,congresso,I_27,Lugo,0.5705733364034078,0.9030341726889477,0.5523255813953488
2011,2011_11_20,congresso,I_28,Madrid,0.515081564387704,1.3020493540541767,0.6228080687038147
2011,2011_11_20,congresso,I_29,Malaga,0.5024414028195217,0.8446579841875427,0.588034835289663
2011,2011_11_20,congresso,I_30,Murcia,0.6481487586504359,0.8527829224099618,0.4941823566744235
2011,2011_11_20,congresso,I_32,Ourense,0.5748725357321934,0.8958176707764899,0.5277463193657984
2011,2011_11_20,congresso,I_33,Asturias,0.35879841806026497,1.043036017943446,0.6114503816793894
2011,2011_11_20,congresso,I_34,Palencia,0.5608273202764097,0.9500574334867301,0.4607438016528926
2011,2011_11_20,congresso,I_35,Las Palmas,0.5179489053919819,0.874686016594385,0.7370254266805991
2011,2011_11_20,congresso,I_36,Pontevedra,0.5158404317327964,0.9220304713609302,0.6171073094867807
2011,2011_11_20,congresso,I_37,Salamanca,0.6095590773872864,0.9616315302096291,0.4576271186440678
2011,2011_11_20,congresso,I_38,Canarias,0.4532586225174924,0.8542708364229255,0.6960926193921853
2011,2011_11_20,congresso,I_39,Cantabria,0.5279407188872115,1.0293249944614176,0.5915875169606513
2011,2011_11_20,congresso,I_40,Segovia,0.5732540763855316,0.9322489870027798,0.5201535508637236
2011,2011_11_20,congresso,I_41,Sevilla,0.3917938898475615,0.8680949121226954,0.45779803840309435
2011,2011_11_20,congresso,I_42,Soria,0.5635593220338984,0.9793053126630709,0.5896414342629482
2011,2011_11_20,congresso,I_43,Tarragona,0.24139139345469107,0.9940271942315906,0.7356859920777817
2011,2011_11_20,congresso,I_44,Teruel,0.5294631627722248,0.9318423309340005,0.5440806045340051
2011,2011_11_20,congresso,I_45,Toledo,0.5794003484695983,0.8788271802005471,0.4568642160540135
2011,2011_11_20,congresso,I_46,Valencia,0.5278013388024879,0.9625451175331309,0.6926870212989193
2011,2011_11_20,congresso,I_47,Valladolid,0.5368889414018047,1.04505562750354,0.49922158796056043
2011,2011_11_20,congresso,I_49,Zamora,0.5878430189979753,0.8532153307287726,0.5010752688172043
2011,2011_11_20,congresso,I_50,Zaragoza,0.47837647983299664,1.0573385964040458,0.5351598173515981
2014,2014_05_25,european,I_02,Albacete,0.36518037549165533,0.8390839484594991,0.5547112462006079
2014,2014_05_25,european,I_03,Alicante,0.31258006845684616,0.8261232880971691,0.7318266149434981
2014,2014_05_25,european,I_04,Almeria,0.36027623008710663,0.7148697655109039,0.5867066466766616
2014,2014_05_25,european,I_05,Avila,0.4839327483085038,0.8612087564847457,0.5268065268065268
2014,2014_05_25,european,I_06,Badajoz,0.3565774933826742,0.7229118232967441,0.4912923923006416
2014,2014_05_25,european,I_07,Illes Balears,0.28128517343702036,0.9368863104442327,0.799384906553111
2014,2014_05_25,european,I_08,Barcelona,0.10306418181730471,1.1828680739449586,0.8356434641845407
2014,2014_05_25,european,I_09,Burgos,0.38164669329782513,1.0635411488058761,0.6034318398474738
2014,2014_05_25,european,I_10,Caceres,0.3736922667376547,0.7600579037645225,0.5818181818181818
2014,2014_05_25,european,I_11,Cadiz,0.24383297362590808,0.8375713342132429,0.5817385289370532
2014,2014_05_25,european,I_12,Castellon,0.32780442346553756,0.910832162235994,0.7429160226687275
2014,2014_05_25,european,I_13,Ciudad Real,0.3871596113291463,0.8170399936871985,0.46237244897959184
2014,2014_05_25,european,I_14,Cordoba,0.27952073892712354,0.7114251387928793,0.4381283836040217
2014,2014_05_25,european,I_15,A Coruna,0.3334936124552062,1.0262821143751593,0.6728948679621325
2014,2014_05_25,european,I_16,Cuenca,0.4410493309418429,0.7922080591483927,0.5516637478108581
2014,2014_05_25,european,I_17,Girona,0.06749917222458729,0.9575294452019227,0.8467153284671532
2014,2014_05_25,european,I_18,Granada,0.2896917061336155,0.7896949111755914,0.5477929501429025
