,election_date,election_type,harmonised_code,harmonised_name,pc1
246,2000_10_08,president_a,T_2261,Gdańsk,-0.16696868212296653
247,2000_10_08,president_a,T_2262,Gdynia,-0.1157563966007471
248,2000_10_08,president_a,T_2263,Słupsk,0.07459847816493281
249,2000_10_08,president_a,T_2264,Sopot,-0.21095835710123573
250,2000_10_08,president_a,T_2299,ships,0.06064708338349234
251,2000_10_08,president_a,T_2401,będziński,0.21975959026401348
252,2000_10_08,president_a,T_2402,bielski,-0.05205782574631701
253,2000_10_08,president_a,T_2403,cieszyński,0.08460982227458175
254,2000_10_08,president_a,T_2404,częstochowski,0.13293566581296157
255,2000_10_08,president_a,T_2405,gliwicki,0.0036693189332191456
256,2000_10_08,president_a,T_2406,kłobucki,0.14919716441682918
257,2000_10_08,president_a,T_2407,lubliniecki,-0.0637034706794048
258,2000_10_08,president_a,T_2408,mikołowski,-0.053613615756549216
259,2000_10_08,president_a,T_2409,myszkowski,0.12118193750129003
260,2000_10_08,president_a,T_2410,pszczyński,-0.06306455190919252
261,2000_10_08,president_a,T_2411,raciborski,-0.003743090157236506
262,2000_10_08,president_a,T_2412,rybnicki,0.01146150438457244
263,2000_10_08,president_a,T_2413,tarnogórski,-0.06336960340644254
264,2000_10_08,president_a,T_2414,bieruńsko-lędziński,-0.0826169489928712
265,2000_10_08,president_a,T_2415,wodzisławski,0.022165995339577416
266,2000_10_08,president_a,T_2416,zawierciański,0.1645122402787882
267,2000_10_08,president_a,T_2417,żywiecki,-0.1125057126736746
268,2000_10_08,president_a,T_2461,Bielsko-Biała,-0.06339020552337327
269,2000_10_08,president_a,T_2462,Bytom,0.08852417702546761
270,2000_10_08,president_a,T_2463,Chorzów,0.06305540300559614
271,2000_10_08,president_a,T_2464,Częstochowa,0.036448276127174994
272,2000_10_08,president_a,T_2465,Dąbrowa Górnicza,0.218394511211909
273,2000_10_08,president_a,T_2466,Gliwice,0.020269881768622433
274,2000_10_08,president_a,T_2467,Jastrzębie-Zdrój,0.09616866078066266
275,2000_10_08,president_a,T_2468,Jaworzno,0.10507731515148366
276,2000_10_08,president_a,T_2469,Katowice,-0.00032226839378995953
277,2000_10_08,president_a,T_2470,Mysłowice,0.04616541153592457
278,2000_10_08,president_a,T_2471,Piekary Śląskie,-0.031475479891246605
279,2000_10_08,president_a,T_2472,Ruda Śląska,0.06393875990073694
280,2000_10_08,president_a,T_2473,Rybnik,0.016131041846084215
281,2000_10_08,president_a,T_2474,Siemianowice Śląskie,0.07430403483494019
282,2000_10_08,president_a,T_2475,Sosnowiec,0.2059768317614331
283,2000_10_08,president_a,T_2476,Świętochłowice,0.08564432561750057
284,2000_10_08,president_a,T_2477,Tychy,0.01778384490984941
285,2000_10_08,president_a,T_2478,Zabrze,0.10751183772672918
286,2000_10_08,president_a,T_2479,Żory,0.10245948018768358
287,2000_10_08,president_a,T_2601,buski,0.018875572897865456
288,2000_10_08,president_a,T_2602,jędrzejowski,0.07909417167966498
289,2000_10_08,president_a,T_2603,kazimierski,-0.05531209468761061
290,2000_10_08,president_a,T_2604,kielecki,0.021172813616629815
291,2000_10_08,president_a,T_2605,konecki,0.03962146015305984
292,2000_10_08,president_a,T_2606,opatowski,0.041272937131965115
293,2000_10_08,president_a,T_2607,ostrowiecki,0.16116289317565968
294,2000_10_08,president_a,T_2608,pińczowski,0.10423214235628686
295,2000_10_08,president_a,T_2609,sandomierski,-0.061755601176396224
296,2000_10_08,president_a,T_2610,skarżyski,0.05866142071413749
297,2000_10_08,president_a,T_2611,starachowicki,0.09007463865933796
298,2000_10_08,president_a,T_2612,staszowski,0.010405789072506777
299,2000_10_08,president_a,T_2613,włoszczowski,0.05334530810277305
300,2000_10_08,president_a,T_2661,Kielce,0.08332433591701494
301,2000_10_08,president_a,T_2801,bartoszycki,0.14754229546329378
302,2000_10_08,president_a,T_2802,braniewski,0.15652197824579228
303,2000_10_08,president_a,T_2803,działdowski,0.127134132188083
304,2000_10_08,president_a,T_2804,elbląski,0.12495112187761426
305,2000_10_08,president_a,T_2805,ełcki,0.04154026794219834
306,2000_10_08,president_a,T_2806,giżycki,0.11243297916266354
307,2000_10_08,president_a,T_2807,iławski,0.133649825531989
308,2000_10_08,president_a,T_2808,kętrzyński,0.1468531086241185
309,2000_10_08,president_a,T_2809,lidzbarski,0.10728244122154407
310,2000_10_08,president_a,T_2810,mrągowski,0.08260486504600612
311,2000_10_08,president_a,T_2811,nidzicki,0.13752397420613627
312,2000_10_08,president_a,T_2812,nowomiejski,0.07229824671722779
313,2000_10_08,president_a,T_2813,olecki,0.07180810050439634
314,2000_10_08,president_a,T_2814,olsztyński,0.11649660072085916
315,2000_10_08,president_a,T_2815,ostródzki,0.15483599183483898
316,2000_10_08,president_a,T_2816,piski,0.03963027429727983
317,2000_10_08,president_a,T_2817,szczycieński,0.05442568199079201
318,2000_10_08,president_a,T_2861,Elbląg,0.056943518370771495
